,event,datetime,opponent,median_ticket_price,date,time
150,Milwaukee Brewers at Washington Nationals,2019-08-16T19:05:00,Milwaukee Brewers,90,2019-08-16,19:05
151,Milwaukee Brewers at Washington Nationals,2019-08-17T19:05:00,Milwaukee Brewers,89,2019-08-17,19:05
152,Milwaukee Brewers at Washington Nationals,2019-08-18T13:35:00,Milwaukee Brewers,78,2019-08-18,13:35
153,Washington Nationals at Pittsburgh Pirates,2019-08-19T19:05:00,Pittsburgh Pirates,72,2019-08-19,19:05
154,Washington Nationals at Pittsburgh Pirates,2019-08-20T19:05:00,Pittsburgh Pirates,69,2019-08-20,19:05
155,Washington Nationals at Pittsburgh Pirates,2019-08-21T19:05:00,Pittsburgh Pirates,83,2019-08-21,19:05
156,Washington Nationals at Pittsburgh Pirates,2019-08-22T19:05:00,Pittsburgh Pirates,63,2019-08-22,19:05
157,Washington Nationals at Chicago Cubs,2019-08-23T13:20:00,Chicago Cubs,171,2019-08-23,13:20
158,Washington Nationals at Chicago Cubs,2019-08-24T13:20:00,Chicago Cubs,208,2019-08-24,13:20
159,Washington Nationals at Chicago Cubs,2019-08-25T13:20:00,Chicago Cubs,159,2019-08-25,13:20
160,Baltimore Orioles at Washington Nationals,2019-08-27T19:05:00,Baltimore Orioles,71,2019-08-27,19:05
161,Baltimore Orioles at Washington Nationals,2019-08-28T19:05:00,Baltimore Orioles,72,2019-08-28,19:05
162,Miami Marlins at Washington Nationals,2019-08-30T19:05:00,Miami Marlins,84,2019-08-30,19:05
163,Miami Marlins at Washington Nationals,2019-08-31T19:05:00,Miami Marlins,83,2019-08-31,19:05
164,Miami Marlins at Washington Nationals,2019-09-01T13:35:00,Miami Marlins,81,2019-09-01,13:35
165,New York Mets at Washington Nationals,2019-09-02T13:05:00,New York Mets,68,2019-09-02,13:05
166,New York Mets at Washington Nationals,2019-09-03T19:05:00,New York Mets,47,2019-09-03,19:05
167,New York Mets at Washington Nationals,2019-09-04T13:05:00,New York Mets,48,2019-09-04,13:05
168,Washington Nationals at Atlanta Braves,2019-09-05T19:20:00,Atlanta Braves,75,2019-09-05,19:20
169,Washington Nationals at Atlanta Braves,2019-09-06T19:20:00,Atlanta Braves,85,2019-09-06,19:20
170,Washington Nationals at Atlanta Braves,2019-09-07T19:20:00,Atlanta Braves,91,2019-09-07,19:20
171,Washington Nationals at Atlanta Braves,2019-09-08T13:20:00,Atlanta Braves,79,2019-09-08,13:20
172,Washington Nationals at Minnesota Twins,2019-09-10T18:40:00,Minnesota Twins,39,2019-09-10,18:40
173,Washington Nationals at Minnesota Twins,2019-09-11T18:40:00,Minnesota Twins,65,2019-09-11,18:40
174,Washington Nationals at Minnesota Twins,2019-09-12T18:40:00,Minnesota Twins,74,2019-09-12,18:40
175,Atlanta Braves at Washington Nationals,2019-09-13T19:05:00,Atlanta Braves,67,2019-09-13,19:05
176,Atlanta Braves at Washington Nationals,2019-09-14T16:05:00,Atlanta Braves,65,2019-09-14,16:05
177,Atlanta Braves at Washington Nationals,2019-09-15T13:35:00,Atlanta Braves,63,2019-09-15,13:35
178,Washington Nationals at St. Louis Cardinals,2019-09-16T18:45:00,St. Louis Cardinals,94,2019-09-16,18:45
179,Washington Nationals at St. Louis Cardinals,2019-09-17T18:45:00,St. Louis Cardinals,88,2019-09-17,18:45
180,Washington Nationals at St. Louis Cardinals,2019-09-18T12:15:00,St. Louis Cardinals,89,2019-09-18,12:15
181,Washington Nationals at Miami Marlins,2019-09-20T19:10:00,Miami Marlins,75,2019-09-20,19:10
182,Washington Nationals at Miami Marlins,2019-09-21T18:10:00,Miami Marlins,77,2019-09-21,18:10
183,Washington Nationals at Miami Marlins,2019-09-22T13:10:00,Miami Marlins,81,2019-09-22,13:10
184,Philadelphia Phillies at Washington Nationals,2019-09-23T19:05:00,Philadelphia Phillies,108,2019-09-23,19:05
185,Philadelphia Phillies at Washington Nationals,2019-09-24T19:05:00,Philadelphia Phillies,104,2019-09-24,19:05
186,Philadelphia Phillies at Washington Nationals,2019-09-25T19:05:00,Philadelphia Phillies,104,2019-09-25,19:05
187,Philadelphia Phillies at Washington Nationals,2019-09-26T16:05:00,Philadelphia Phillies,114,2019-09-26,16:05
188,Cleveland Indians at Washington Nationals,2019-09-27T19:05:00,Cleveland Indians,64,2019-09-27,19:05
189,Cleveland Indians at Washington Nationals,2019-09-28T16:05:00,Cleveland Indians,63,2019-09-28,16:05
190,Cleveland Indians at Washington Nationals,2019-09-29T15:05:00,Cleveland Indians,62,2019-09-29,15:05
